D	ix	dance	full_title	count	title	opus	no	path
41	17	menuett	20 Menuette D 41	20	Menuette		18	41/D041menuett18a.mscx
41	17	trio	20 Trios D 41	20	Trios		18	41/D041trio18b.mscx
41	18	menuett	20 Menuette D 41	20	Menuette		19	41/D041menuett19a.mscx
41	18	trio	20 Trios D 41	20	Trios		19	41/D041trio19b.mscx
41	19	menuett	20 Menuette D 41	20	Menuette		20	41/D041menuett20a.mscx
41	19	trio	20 Trios D 41	20	Trios		20	41/D041trio20b.mscx
420	0	deutscher	12 Deutsche Tänze D 420	12	Deutsche Tänze		1	420/D420deutscher01.mscx
420	1	deutscher	12 Deutsche Tänze D 420	12	Deutsche Tänze		2	420/D420deutscher02.mscx
420	2	deutscher	12 Deutsche Tänze D 420	12	Deutsche Tänze		3	420/D420deutscher03.mscx
420	3	deutscher	12 Deutsche Tänze D 420	12	Deutsche Tänze		4	420/D420deutscher04.mscx
420	4	deutscher	12 Deutsche Tänze D 420	12	Deutsche Tänze		5	420/D420deutscher05.mscx
420	5	deutscher	12 Deutsche Tänze D 420	12	Deutsche Tänze		6	420/D420deutscher06.mscx
420	6	deutscher	12 Deutsche Tänze D 420	12	Deutsche Tänze		7	420/D420deutscher07.mscx
420	7	deutscher	12 Deutsche Tänze D 420	12	Deutsche Tänze		8	420/D420deutscher08.mscx
420	8	deutscher	12 Deutsche Tänze D 420	12	Deutsche Tänze		9	420/D420deutscher09.mscx
420	9	deutscher	12 Deutsche Tänze D 420	12	Deutsche Tänze		10	420/D420deutscher10.mscx
420	10	deutscher	12 Deutsche Tänze D 420	12	Deutsche Tänze		11	420/D420deutscher11.mscx
420	11	deutscher	12 Deutsche Tänze D 420	12	Deutsche Tänze		12	420/D420deutscher12.mscx
421	0	ecossaise	6 Ecossaisen D 421	6	Ecossaisen		1	421/D421ecossaise01.mscx
421	1	ecossaise	6 Ecossaisen D 421	6	Ecossaisen		2	421/D421ecossaise02.mscx
421	2	ecossaise	6 Ecossaisen D 421	6	Ecossaisen		3	421/D421ecossaise03.mscx
421	3	ecossaise	6 Ecossaisen D 421	6	Ecossaisen		4	421/D421ecossaise04.mscx
421	4	ecossaise	6 Ecossaisen D 421	6	Ecossaisen		5	421/D421ecossaise05.mscx
421	5	ecossaise	6 Ecossaisen D 421	6	Ecossaisen		6	421/D421ecossaise06.mscx
511	0	ecossaise	Ecossaise D 511	1	Ecossaise		1	511/D511ecossaise01.mscx
529	0	ecossaise	8 Ecossaisen D 529	8	Ecossaisen		1	529/D529ecossaise01.mscx
529	1	ecossaise	8 Ecossaisen D 529	8	Ecossaisen		2	529/D529ecossaise02.mscx
529	2	ecossaise	8 Ecossaisen D 529	8	Ecossaisen		3	529/D529ecossaise03.mscx
529	3	ecossaise	8 Ecossaisen D 529	8	Ecossaisen		4	529/D529ecossaise04.mscx
529	4	ecossaise	8 Ecossaisen D 529	8	Ecossaisen		5	529/D529ecossaise05.mscx
529	5	ecossaise	8 Ecossaisen D 529	8	Ecossaisen		6	529/D529ecossaise06.mscx
529	6	ecossaise	8 Ecossaisen D 529	8	Ecossaisen		7	529/D529ecossaise07.mscx
529	7	ecossaise	8 Ecossaisen D 529	8	Ecossaisen		8	529/D529ecossaise08.mscx
600	0	menuett	Menuett D 600	1	Menuett		1	600/D600menuett01.mscx
610	0	trio	Trio zu betrachten als verlorner Sohn eines Menuetts D 610	1	Trio zu betrachten als verlorner Sohn eines Menuetts		1	610/D610trio01.mscx
643	0	deutscher	Deutscher Tanz D 643	1	Deutscher Tanz		1	643/D643deutscher01.mscx
643	0	ecossaise	Ecossaise D 643	1	Ecossaise		1	643/D643ecossaise01.mscx
679	0	ländler	2 Ländler D 679 (980B)	2	Ländler		1	679/D679ländler01.mscx
679	1	ländler	2 Ländler D 679 (980B)	2	Ländler		2	679/D679ländler02.mscx
681	0	ländler	8 Ländler D 681	8	Ländler		1	681/D681ländler01.mscx
681	1	ländler	8 Ländler D 681	8	Ländler		2	681/D681ländler02.mscx
681	2	ländler	8 Ländler D 681	8	Ländler		3	681/D681ländler03.mscx
681	3	ländler	8 Ländler D 681	8	Ländler		4	681/D681ländler04.mscx
681	4	ländler	8 Ländler D 681	8	Ländler		5	681/D681ländler05.mscx
681	5	ländler	8 Ländler D 681	8	Ländler		6	681/D681ländler06.mscx
681	6	ländler	8 Ländler D 681	8	Ländler		7	681/D681ländler07.mscx
681	7	ländler	8 Ländler D 681	8	Ländler		8	681/D681ländler08.mscx
697	0	ecossaise	5 Ecossaisen D 697	5	Ecossaisen		1	697/D697ecossaise01.mscx
697	1	ecossaise	5 Ecossaisen D 697	5	Ecossaisen		2	697/D697ecossaise02.mscx
697	2	ecossaise	5 Ecossaisen D 697	5	Ecossaisen		3	697/D697ecossaise03.mscx
697	3	ecossaise	5 Ecossaisen D 697	5	Ecossaisen		4	697/D697ecossaise04.mscx
697	4	ecossaise	5 Ecossaisen D 697	5	Ecossaisen		5	697/D697ecossaise05.mscx
718	0	walzer	Variation über einen Walzer von A. Diabelli D 718	1	Variation über einen Walzer von A. Diabelli		1	718/D718walzer01.mscx
722	0	deutscher	Deutscher Tanz D 722	1	Deutscher Tanz		1	722/D722deutscher01.mscx
734	0	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	1	734/D734ländler01.mscx
734	0	ecossaise	2 Ecossaisen op. 67 D 734	2	Ecossaisen	op. 67	1	734/D734ecossaise01.mscx
734	1	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	2	734/D734ländler02.mscx
734	1	ecossaise	2 Ecossaisen op. 67 D 734	2	Ecossaisen	op. 67	2	734/D734ecossaise02.mscx
734	2	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	3	734/D734ländler03.mscx
734	3	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	4	734/D734ländler04.mscx
734	4	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	5	734/D734ländler05.mscx
734	5	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	6	734/D734ländler06.mscx
734	6	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	7	734/D734ländler07.mscx
734	7	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	8	734/D734ländler08.mscx
734	8	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	9	734/D734ländler09.mscx
734	9	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	10	734/D734ländler10.mscx
734	10	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	11	734/D734ländler11.mscx
734	11	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	12	734/D734ländler12.mscx
734	12	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	13	734/D734ländler13.mscx
734	13	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	14	734/D734ländler14.mscx
734	14	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	15	734/D734ländler15.mscx
734	15	ländler	16 Ländler op. 67 D 734	16	Ländler	op. 67	16	734/D734ländler16.mscx
735	0	ecossaise	8 Ecossaisen op. 49 D 735	8	Ecossaisen	op. 49	1	735/D735ecossaise01.mscx
735	0	galopp	Galopp op. 49 D 735	1	Galopp	op. 49	1	735/D735galopp01.mscx
735	1	ecossaise	8 Ecossaisen op. 49 D 735	8	Ecossaisen	op. 49	2	735/D735ecossaise02.mscx
