id	D	no	dance	path
398	969	6	walzer	D969walzer06.mscx
399	969	7	walzer	D969walzer07.mscx
400	969	8	walzer	D969walzer08.mscx
401	969	9	walzer	D969walzer09.mscx
402	969	10	walzer	D969walzer10.mscx
403	969	11	walzer	D969walzer11.mscx
404	969	12	walzer	D969walzer12.mscx
405	970	1	deutscher	D970deutscher01.mscx
406	970	2	deutscher	D970deutscher02.mscx
407	970	3	deutscher	D970deutscher03.mscx
408	970	4	deutscher	D970deutscher04.mscx
409	970	5	deutscher	D970deutscher05.mscx
410	970	6	deutscher	D970deutscher06.mscx
411	971	1	deutscher	D971deutscher01.mscx
412	971	2	deutscher	D971deutscher02.mscx
413	971	3	deutscher	D971deutscher03.mscx
414	972	1	deutscher	D972deutscher01.mscx
415	972	2	deutscher	D972deutscher02.mscx
416	972	3	deutscher	D972deutscher03.mscx
417	973	1	deutscher	D973deutscher01.mscx
418	973	2	deutscher	D973deutscher02.mscx
419	973	3	deutscher	D973deutscher03.mscx
420	974	1	deutscher	D974deutscher01.mscx
421	974	2	deutscher	D974deutscher02.mscx
422	975	1	deutscher	D975deutscher01.mscx
423	976	1	cotillon	D976cotillon01.mscx
424	977	2	ecossaise	D977ecossaise02.mscx
425	977	3	ecossaise	D977ecossaise03.mscx
426	977	4	ecossaise	D977ecossaise04.mscx
427	977	5	ecossaise	D977ecossaise05.mscx
428	977	6	ecossaise	D977ecossaise06.mscx
429	977	7	ecossaise	D977ecossaise07.mscx
430	977	8	ecossaise	D977ecossaise08.mscx
431	978	1	walzer	D978walzer01.mscx
432	979	1	walzer	D979walzer01.mscx
433	980	1	walzer	D980walzer01.mscx
434	980	2	walzer	D980walzer02.mscx
435	679	2	ländler	D679ländler02.mscx
