id	segment_id	bass	intervals	onbeat	offbeat	labels	next	next_bass	next_label
322	1	A	('M2', 'm3', 'P4', 'P5', 'M7')	('M2', 'm3', 'P4', 'P5', 'M7')	('M2', 'm3', 'P4')	minor	(322, 2)	A	minor
322	2	A	('m3', 'A4', 'P5')	('m3', 'A4', 'P5')	('P5',)	minor	(322, 3)	A	minor64
322	3	A	('P4', 'P5', 'm6')	('P4', 'P5', 'm6')	('m6',)	minor64	(322, 4)	A	minor
322	4	A	('M2', 'm3', 'P5')	('m3', 'P5')	('M2',)	minor	(322, 5)	A	dominant7
322	5	A	('M2', 'M3', 'm3', 'P5', 'm7', 'M7')	('m3', 'M3', 'P5', 'm7')	('M2', 'M7')	dominant7	(322, 6)	A	minor
322	6	A	('m3', 'P4', 'P5', 'm6')	('m3', 'P4', 'P5', 'm6')	('m3', 'P4', 'P5')	minor	(322, 7)	E	dominant7
322	7	E	('M3', 'P5', 'm6', 'm7', 'M7')	('M3', 'P5', 'm6', 'm7')	('P5', 'm7', 'M7')	dominant7	(322, 8)	A	minor7
322	8	A	('m3', 'P5', 'm7')	('m3', 'P5', 'm7')	('m7',)	minor7	(322, 9)	C	major
322	9	C	('M3', 'P4', 'A4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6')	('M3', 'A4', 'P5')	major	(322, 10)	G	dominant7
322	10	G	('M3', 'P5', 'm7')	('M3', 'P5', 'm7')	()	dominant7	(322, 11)	G	dominant7
322	11	G	('M3', 'P5', 'M6', 'm7', 'M7')	('M3', 'P5', 'M6', 'm7')	('P5', 'm7', 'M7')	dominant7	(322, 12)	C	major
322	12	C	('M3', 'P5')	('M3', 'P5')	()	major	(322, 13)	C	major
322	13	C	('M3', 'P5', 'M7')	('M3', 'P5')	('M3', 'M7')	major	(322, 14)	C	major
322	14	C	('A2', 'M3', 'P5')	('M3', 'P5')	('A2', 'P5')	major	(322, 15)	G	dominant7
322	15	G	('M2', 'M3', 'P4', 'P5', 'M6', 'm7')	('M3', 'P4', 'P5', 'M6', 'm7')	('M2', 'M3', 'P5', 'm7')	dominant7	(322, 16)	C	major
322	16	C	('M3', 'P5')	('M3', 'P5')	()	major			
323	1	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(323, 2)	C	major
323	2	C	('M3', 'P5')	('M3', 'P5')	('P5',)	major	(323, 3)	G	dominant7
323	3	G	('M3', 'P5', 'M6', 'm7')	('M3', 'P5', 'M6', 'm7')	('P5', 'm7')	dominant7	(323, 4)	C	major
323	4	C	('M3', 'P5')	('M3', 'P5')	('P5',)	major	(323, 5)	C	major
323	5	C	('M3', 'P5')	('M3', 'P5')	('P5',)	major	(323, 6)	C	major
323	6	C	('M3', 'P5')	('M3', 'P5')	('P5',)	major	(323, 7)	C	major64
323	7	C	('P4', 'M6')	('P4', 'M6')	('P4', 'M6')	major64	(323, 8)	C	major
323	8	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(323, 9)	C	major
323	9	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(323, 10)	C	major
323	10	C	('M3', 'P5')	('M3', 'P5')	('P5',)	major	(323, 11)	G	dominant7
323	11	G	('M3', 'P5', 'M6', 'm7')	('M3', 'P5', 'M6', 'm7')	('P5', 'm7')	dominant7	(323, 12)	C	major
