id	mc	section	keysig	timesig	duration	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	mn	next
18	15	1	-1	3/4	3/4	3/4	0	2						14	[16]
18	16	1	-1	3/4	3/4	3/4	0	2						15	[17]
18	17	1	-1	3/4	3/4	3/4	0	2						16	[18]
18	18	1	-1	3/4	3/4	3/4	0	2						17	[19]
18	19	1	-1	3/4	3/4	3/4	0	2						18	[20]
18	20	1	-1	3/4	3/4	3/4	0	2						19	[21]
18	21	1	-1	3/4	3/4	3/4	0	2						20	[22]
18	22	1	-1	3/4	3/4	3/4	0	2						21	[23]
18	23	1	-1	3/4	3/4	3/4	0	2						22	[24]
18	24	1	-1	3/4	3/4	3/4	0	2						23	[25]
18	25	1	-1	3/4	3/4	3/4	0	2			double			24	[26]
18	26	2	-1	3/4	3/4	3/4	0	2						25	[27]
18	27	2	-1	3/4	3/4	3/4	0	2						26	[28]
18	28	2	-1	3/4	3/4	3/4	0	2						27	[29]
18	29	2	-1	3/4	3/4	3/4	0	3						28	[30]
18	30	2	-1	3/4	3/4	3/4	0	2						29	[31]
18	31	2	-1	3/4	3/4	3/4	0	2						30	[32]
18	32	2	-1	3/4	3/4	3/4	0	2						31	[33]
18	33	2	-1	3/4	3/4	1/2	0	2	lastMeasure		end			32	[]
19	0	0	-2	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
19	1	0	-2	3/4	3/4	3/4	0	2						1	[2]
19	2	0	-2	3/4	3/4	3/4	0	2						2	[3]
19	3	0	-2	3/4	3/4	3/4	0	2						3	[4]
19	4	0	-2	3/4	3/4	3/4	0	3						4	[5]
19	5	0	-2	3/4	3/4	3/4	0	2						5	[6]
19	6	0	-2	3/4	3/4	3/4	0	2						6	[7]
19	7	0	-2	3/4	3/4	3/4	0	2						7	[8]
19	8	0	-2	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
19	9	1	-2	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
19	10	1	-2	3/4	3/4	3/4	0	2						9	[11]
19	11	1	-2	3/4	3/4	3/4	0	2						10	[12]
19	12	1	-2	3/4	3/4	3/4	0	2						11	[13]
19	13	1	-2	3/4	3/4	3/4	0	3						12	[14]
19	14	1	-2	3/4	3/4	3/4	0	3						13	[15]
19	15	1	-2	3/4	3/4	3/4	0	4						14	[16]
19	16	1	-2	3/4	3/4	3/4	0	2						15	[17]
19	17	1	-2	3/4	3/4	3/4	0	2						16	[18]
19	18	1	-2	3/4	3/4	3/4	0	2						17	[19]
19	19	1	-2	3/4	3/4	3/4	0	2						18	[20]
19	20	1	-2	3/4	3/4	3/4	0	2						19	[21]
19	21	1	-2	3/4	3/4	3/4	0	2						20	[22]
19	22	1	-2	3/4	3/4	3/4	0	3						21	[23]
19	23	1	-2	3/4	3/4	1/2	0	3	endRepeat					22	[9]
20	0	0	-2	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
20	1	0	-2	3/4	3/4	3/4	0	3						1	[2]
20	2	0	-2	3/4	3/4	3/4	0	3						2	[3]
20	3	0	-2	3/4	3/4	3/4	0	3						3	[4]
20	4	0	-2	3/4	3/4	3/4	0	3						4	[5]
20	5	0	-2	3/4	3/4	3/4	0	2						5	[6]
20	6	0	-2	3/4	3/4	3/4	0	2						6	[7]
